match_id,season,date,team1,team2,venue,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,city
39,2008,2008-07-12,Kolkata Knight Riders,Deccan Chargers,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,Kolkata Knight Riders,0,5,Andre Russell,Mumbai
40,2008,2008-07-15,Deccan Chargers,Punjab Kings,"DY Patil Stadium, Mumbai",Punjab Kings,bat,Deccan Chargers,0,3,Aiden Markram,Mumbai
41,2008,2008-06-08,Mumbai Indians,Chennai Super Kings,"Ekana Cricket Stadium, Lucknow",Chennai Super Kings,field,Mumbai Indians,0,2,Tilak Varma,Lucknow
42,2008,2008-07-21,Kolkata Knight Riders,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,bat,Rajasthan Royals,0,4,Riyan Parag,Mumbai
43,2008,2008-06-12,Punjab Kings,Chennai Super Kings,"DY Patil Stadium, Mumbai",Chennai Super Kings,bat,Chennai Super Kings,40,0,Shivam Dube,Mumbai
44,2008,2008-06-14,Delhi Capitals,Punjab Kings,"Brabourne Stadium, Mumbai",Delhi Capitals,bat,Delhi Capitals,0,3,Tristan Stubbs,Mumbai
45,2008,2008-06-16,Punjab Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Punjab Kings,field,Mumbai Indians,0,6,Tilak Varma,Delhi
46,2008,2008-05-04,Kochi Tuskers Kerala,Deccan Chargers,"DY Patil Stadium, Mumbai",Deccan Chargers,bat,Deccan Chargers,82,0,Abdul Samad,Mumbai
47,2008,2008-06-20,Chennai Super Kings,Kolkata Knight Riders,"DY Patil Stadium, Mumbai",Chennai Super Kings,bat,Chennai Super Kings,61,0,Rachin Ravindra,Mumbai
48,2008,2008-08-08,Kochi Tuskers Kerala,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Kochi Tuskers Kerala,field,Punjab Kings,84,0,Shreyas Iyer,Pune
49,2008,2008-05-07,Chennai Super Kings,Punjab Kings,"M. Chinnaswamy Stadium, Bengaluru",Punjab Kings,bat,Punjab Kings,0,2,Azmatullah Omarzai,Bengaluru
50,2008,2008-08-14,Royal Challengers Bengaluru,Kochi Tuskers Kerala,"DY Patil Stadium, Mumbai",Kochi Tuskers Kerala,field,Royal Challengers Bengaluru,0,9,Devdutt Padikkal,Mumbai
51,2008,2008-05-09,Deccan Chargers,Kochi Tuskers Kerala,"Maharashtra Cricket Association Stadium, Pune",Kochi Tuskers Kerala,field,Deccan Chargers,82,0,Nitish Kumar Reddy,Pune
52,2008,2008-05-10,Kolkata Knight Riders,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,bat,Kolkata Knight Riders,70,0,Venkatesh Iyer,Mohali
53,2008,2008-07-02,Royal Challengers Bengaluru,Deccan Chargers,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,70,0,Devdutt Padikkal,Bengaluru
54,2008,2008-07-04,Punjab Kings,Mumbai Indians,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,bat,Mumbai Indians,0,7,Tilak Varma,Bengaluru
55,2008,2008-07-06,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Mumbai Indians,63,0,Rohit Sharma,Delhi
56,2008,2008-09-01,Punjab Kings,Delhi Capitals,"DY Patil Stadium, Mumbai",Delhi Capitals,bat,Delhi Capitals,0,9,Jake Fraser-McGurk,Mumbai
57,2008,2008-09-04,Punjab Kings,Mumbai Indians,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,bat,Mumbai Indians,34,0,Tilak Varma,Chennai
58,2008,2008-07-12,Delhi Capitals,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,field,Delhi Capitals,0,7,Tristan Stubbs,Mohali
59,2008,2008-09-10,Chennai Super Kings,Kochi Tuskers Kerala,"Wankhede Stadium, Mumbai",Chennai Super Kings,field,Chennai Super Kings,84,0,Ruturaj Gaikwad,Mumbai
60,2009,2009-03-23,Kolkata Knight Riders,Mumbai Indians,"Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,bat,Kolkata Knight Riders,28,0,Ramandeep Singh,Lucknow
61,2009,2009-03-26,Rajasthan Royals,Delhi Capitals,"Eden Gardens, Kolkata",Rajasthan Royals,bat,Delhi Capitals,4,0,Tristan Stubbs,Kolkata
62,2009,2009-03-25,Punjab Kings,Deccan Chargers,"Brabourne Stadium, Mumbai",Punjab Kings,bat,Punjab Kings,0,2,Shreyas Iyer,Mumbai
63,2009,2009-03-29,Delhi Capitals,Punjab Kings,"DY Patil Stadium, Mumbai",Delhi Capitals,field,Delhi Capitals,63,0,Faf du Plessis,Mumbai
64,2009,2009-03-31,Punjab Kings,Delhi Capitals,"DY Patil Stadium, Mumbai",Punjab Kings,field,Punjab Kings,84,0,Musheer Khan,Mumbai
65,2009,2009-04-02,Deccan Chargers,Kochi Tuskers Kerala,"Punjab Cricket Association Stadium, Mohali",Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0,2,Nitish Kumar Reddy,Mohali
66,2009,2009-04-10,Kolkata Knight Riders,Kochi Tuskers Kerala,"Ekana Cricket Stadium, Lucknow",Kochi Tuskers Kerala,field,Kolkata Knight Riders,0,3,Ramandeep Singh,Lucknow
67,2009,2009-04-06,Kolkata Knight Riders,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field,Delhi Capitals,0,5,Jake Fraser-McGurk,Dharamsala
68,2009,2009-03-31,Deccan Chargers,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,field,Kolkata Knight Riders,61,0,Ramandeep Singh,Chennai
69,2009,2009-04-10,Kochi Tuskers Kerala,Mumbai Indians,"M. A. Chidambaram Stadium, Chennai",Kochi Tuskers Kerala,field,Mumbai Indians,75,0,Suryakumar Yadav,Chennai
70,2009,2009-04-22,Kochi Tuskers Kerala,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,field,Delhi Capitals,33,0,Karun Nair,Jaipur
71,2009,2009-04-03,Chennai Super Kings,Kolkata Knight Riders,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Chennai Super Kings,bat,Chennai Super Kings,76,0,Anshul Kamboj,Hyderabad
72,2009,2009-04-04,Chennai Super Kings,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,bat,Chennai Super Kings,0,3,Anshul Kamboj,Delhi
73,2009,2009-04-18,Mumbai Indians,Deccan Chargers,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,field,Mumbai Indians,37,0,Tilak Varma,Ahmedabad
74,2009,2009-04-06,Kochi Tuskers Kerala,Deccan Chargers,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Kochi Tuskers Kerala,field,Deccan Chargers,9,0,Kamindu Mendis,Hyderabad
75,2009,2009-04-07,Chennai Super Kings,Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians,bat,Mumbai Indians,54,0,Naman Dhir,Kolkata
76,2009,2009-04-24,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,Kolkata Knight Riders,0,2,Rinku Singh,Mohali
77,2009,2009-04-09,Kolkata Knight Riders,Rajasthan Royals,"DY Patil Stadium, Mumbai",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,0,Cameron Green,Mumbai
78,2009,2009-04-10,Kochi Tuskers Kerala,Deccan Chargers,"Arun Jaitley Stadium, Delhi",Kochi Tuskers Kerala,field,Deccan Chargers,0,8,Shaik Rasheed,Delhi
79,2009,2009-04-11,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Kolkata Knight Riders,0,2,Ajinkya Rahane,Jaipur
80,2009,2009-05-22,Royal Challengers Bengaluru,Rajasthan Royals,"Ekana Cricket Stadium, Lucknow",Rajasthan Royals,field,Royal Challengers Bengaluru,0,7,Phil Salt,Lucknow
81,2009,2009-04-13,Deccan Chargers,Kochi Tuskers Kerala,"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,field,Kochi Tuskers Kerala,0,1,Shaik Rasheed,Mohali
82,2009,2009-04-14,Mumbai Indians,Rajasthan Royals,"Ekana Cricket Stadium, Lucknow",Mumbai Indians,field,Mumbai Indians,36,0,Ishan Kishan,Lucknow
83,2009,2009-05-08,Punjab Kings,Kochi Tuskers Kerala,"M. A. Chidambaram Stadium, Chennai",Kochi Tuskers Kerala,field,Punjab Kings,0,3,Glenn Maxwell,Chennai
84,2009,2009-06-03,Punjab Kings,Kochi Tuskers Kerala,"Arun Jaitley Stadium, Delhi",Kochi Tuskers Kerala,bat,Punjab Kings,42,0,Prabhsimran Singh,Delhi
85,2009,2009-06-06,Punjab Kings,Mumbai Indians,"DY Patil Stadium, Mumbai",Mumbai Indians,field,Punjab Kings,80,0,Azmatullah Omarzai,Mumbai
86,2009,2009-05-14,Kochi Tuskers Kerala,Mumbai Indians,"M. Chinnaswamy Stadium, Bengaluru",Kochi Tuskers Kerala,field,Mumbai Indians,0,2,Rohit Sharma,Bengaluru
87,2009,2009-06-12,Kolkata Knight Riders,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,field,Kolkata Knight Riders,0,2,Ramandeep Singh,Delhi
88,2009,2009-06-15,Chennai Super Kings,Royal Challengers Bengaluru,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bengaluru,field,Chennai Super Kings,61,0,Shaik Rasheed,Mohali
89,2009,2009-04-21,Kochi Tuskers Kerala,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",Kochi Tuskers Kerala,bat,Kochi Tuskers Kerala,0,7,Tristan Stubbs,Jaipur
90,2009,2009-05-22,Mumbai Indians,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,bat,Mumbai Indians,43,0,Naman Dhir,Mumbai
91,2009,2009-05-24,Deccan Chargers,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,bat,Punjab Kings,53,0,Shreyas Iyer,Mohali
92,2009,2009-05-26,Delhi Capitals,Kochi Tuskers Kerala,"Brabourne Stadium, Mumbai",Kochi Tuskers Kerala,bat,Delhi Capitals,65,0,Axar Patel,Mumbai
93,2009,2009-06-30,Chennai Super Kings,Kochi Tuskers Kerala,"M. A. Chidambaram Stadium, Chennai",Kochi Tuskers Kerala,bat,Kochi Tuskers Kerala,84,0,Virat Kohli,Chennai
94,2009,2009-07-03,Kochi Tuskers Kerala,Rajasthan Royals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Rajasthan Royals,bat,Rajasthan Royals,0,9,Dhruv Jurel,Hyderabad
95,2009,2009-07-06,Delhi Capitals,Kochi Tuskers Kerala,"Holkar Cricket Stadium, Indore",Delhi Capitals,bat,Delhi Capitals,0,5,Karun Nair,Indore
96,2009,2009-07-09,Chennai Super Kings,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,field,Chennai Super Kings,4,0,Ruturaj Gaikwad,Chennai
97,2009,2009-06-05,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Mumbai Indians,field,Delhi Capitals,73,0,Harry Brook,Delhi
98,2009,2009-07-15,Royal Challengers Bengaluru,Deccan Chargers,"M. A. Chidambaram Stadium, Chennai",Deccan Chargers,bat,Royal Challengers Bengaluru,0,4,Devdutt Padikkal,Chennai
99,2009,2009-07-18,Rajasthan Royals,Kochi Tuskers Kerala,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,field,Kochi Tuskers Kerala,0,3,Vijay Shankar,Delhi
100,2009,2009-06-11,Delhi Capitals,Rajasthan Royals,"DY Patil Stadium, Mumbai",Rajasthan Royals,field,Rajasthan Royals,50,0,Nitish Kumar Reddy,Mumbai
101,2009,2009-07-24,Chennai Super Kings,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,field,Kolkata Knight Riders,51,0,Manish Pandey,Jaipur
102,2009,2009-07-27,Mumbai Indians,Deccan Chargers,"Maharashtra Cricket Association Stadium, Pune",Deccan Chargers,field,Deccan Chargers,46,0,Rinku Singh,Pune
103,2009,2009-05-05,Rajasthan Royals,Royal Challengers Bengaluru,"DY Patil Stadium, Mumbai",Rajasthan Royals,field,Royal Challengers Bengaluru,47,0,Tim David,Mumbai
104,2009,2009-06-19,Royal Challengers Bengaluru,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field,Royal Challengers Bengaluru,70,0,Phil Salt,Pune
105,2009,2009-05-07,Deccan Chargers,Rajasthan Royals,"Holkar Cricket Stadium, Indore",Rajasthan Royals,field,Rajasthan Royals,44,0,Sanju Samson,Indore
106,2009,2009-05-08,Kochi Tuskers Kerala,Chennai Super Kings,"Eden Gardens, Kolkata",Chennai Super Kings,field,Kochi Tuskers Kerala,34,0,Jos Buttler,Kolkata
107,2009,2009-08-11,Kochi Tuskers Kerala,Delhi Capitals,"DY Patil Stadium, Mumbai",Delhi Capitals,field,Delhi Capitals,0,2,Karun Nair,Mumbai
108,2009,2009-08-14,Kochi Tuskers Kerala,Mumbai Indians,"Ekana Cricket Stadium, Lucknow",Mumbai Indians,bat,Mumbai Indians,0,8,Hardik Pandya,Lucknow
109,2009,2009-05-11,Rajasthan Royals,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Rajasthan Royals,bat,Rajasthan Royals,13,0,Rovman Powell,Chennai
110,2009,2009-07-01,Deccan Chargers,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,7,Tim David,Jaipur
111,2009,2009-07-03,Chennai Super Kings,Kochi Tuskers Kerala,"Ekana Cricket Stadium, Lucknow",Kochi Tuskers Kerala,bat,Kochi Tuskers Kerala,57,0,Andre Russell,Lucknow
112,2009,2009-08-26,Chennai Super Kings,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,bat,Chennai Super Kings,16,0,Vijay Shankar,Ahmedabad
113,2009,2009-08-29,Chennai Super Kings,Kolkata Knight Riders,"DY Patil Stadium, Mumbai",Chennai Super Kings,bat,Kolkata Knight Riders,17,0,Rinku Singh,Mumbai
114,2009,2009-05-16,Chennai Super Kings,Kolkata Knight Riders,"Ekana Cricket Stadium, Lucknow",Chennai Super Kings,field,Kolkata Knight Riders,0,1,Manish Pandey,Lucknow
115,2009,2009-07-11,Royal Challengers Bengaluru,Deccan Chargers,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,bat,Deccan Chargers,2,0,Karun Nair,Ahmedabad
116,2010,2010-03-25,Mumbai Indians,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",Mumbai Indians,field,Mumbai Indians,0,8,Tilak Varma,Delhi
117,2010,2010-03-28,Delhi Capitals,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,bat,Chennai Super Kings,0,9,Anshul Kamboj,Mohali
118,2010,2010-03-29,Kochi Tuskers Kerala,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Mumbai Indians,57,0,Rohit Sharma,Mumbai
119,2010,2010-03-28,Chennai Super Kings,Delhi Capitals,"Ekana Cricket Stadium, Lucknow",Chennai Super Kings,bat,Chennai Super Kings,0,9,Ravindra Jadeja,Lucknow
120,2010,2010-04-06,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,bat,Rajasthan Royals,84,0,Rovman Powell,Mohali
121,2010,2010-03-30,Punjab Kings,Kochi Tuskers Kerala,"Maharashtra Cricket Association Stadium, Pune",Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,13,0,Ashutosh Sharma,Pune
122,2010,2010-03-31,Delhi Capitals,Rajasthan Royals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Rajasthan Royals,bat,Delhi Capitals,56,0,Faf du Plessis,Hyderabad
123,2010,2010-04-01,Delhi Capitals,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,bat,Delhi Capitals,0,7,Jake Fraser-McGurk,Ahmedabad
124,2010,2010-04-02,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Rajasthan Royals,bat,Deccan Chargers,14,0,Axar Patel,Hyderabad
125,2010,2010-04-03,Chennai Super Kings,Rajasthan Royals,"Ekana Cricket Stadium, Lucknow",Rajasthan Royals,bat,Rajasthan Royals,0,5,Yashasvi Jaiswal,Lucknow
126,2010,2010-04-14,Royal Challengers Bengaluru,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,field,Royal Challengers Bengaluru,0,7,Virat Kohli,Mumbai
127,2010,2010-04-27,Royal Challengers Bengaluru,Mumbai Indians,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,48,0,Phil Salt,Chennai
128,2010,2010-04-06,Delhi Capitals,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Delhi Capitals,bat,Chennai Super Kings,11,0,Anshul Kamboj,Pune
129,2010,2010-05-03,Kochi Tuskers Kerala,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,Kochi Tuskers Kerala,0,2,Ashutosh Sharma,Mohali
130,2010,2010-05-06,Chennai Super Kings,Rajasthan Royals,"DY Patil Stadium, Mumbai",Rajasthan Royals,field,Chennai Super Kings,77,0,Ruturaj Gaikwad,Mumbai
131,2010,2010-04-09,Mumbai Indians,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Mumbai Indians,field,Mumbai Indians,64,0,Hardik Pandya,Delhi
132,2010,2010-04-26,Punjab Kings,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Punjab Kings,field,Punjab Kings,0,1,Marcus Stoinis,Kolkata
133,2010,2010-04-11,Mumbai Indians,Kochi Tuskers Kerala,"Maharashtra Cricket Association Stadium, Pune",Kochi Tuskers Kerala,field,Mumbai Indians,0,7,Suryakumar Yadav,Pune
134,2010,2010-04-30,Chennai Super Kings,Punjab Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field,Punjab Kings,0,2,Marcus Stoinis,Mumbai
135,2010,2010-05-21,Chennai Super Kings,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,bat,Chennai Super Kings,44,0,Shaik Rasheed,Jaipur
136,2010,2010-05-24,Delhi Capitals,Royal Challengers Bengaluru,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,bat,Royal Challengers Bengaluru,83,0,Krunal Pandya,Chennai
137,2010,2010-04-15,Royal Challengers Bengaluru,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,bat,Royal Challengers Bengaluru,84,0,Virat Kohli,Chennai
138,2010,2010-05-30,Royal Challengers Bengaluru,Kochi Tuskers Kerala,"Punjab Cricket Association Stadium, Mohali",Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0,3,Prabhsimran Singh,Mohali
139,2010,2010-05-10,Kochi Tuskers Kerala,Deccan Chargers,"DY Patil Stadium, Mumbai",Deccan Chargers,bat,Kochi Tuskers Kerala,60,0,Shreyas Iyer,Mumbai
140,2010,2010-05-12,Mumbai Indians,Delhi Capitals,"Holkar Cricket Stadium, Indore",Mumbai Indians,bat,Delhi Capitals,60,0,Jake Fraser-McGurk,Indore
141,2010,2010-06-08,Kochi Tuskers Kerala,Kolkata Knight Riders,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Kolkata Knight Riders,bat,Kolkata Knight Riders,44,0,Venkatesh Iyer,Hyderabad
142,2010,2010-04-20,Deccan Chargers,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,6,Phil Salt,Mumbai
143,2010,2010-05-18,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,Rajasthan Royals,50,0,Kunal Rathore,Jaipur
